Denier,Changeable Heel,Flare Potential,Shoe Warranty,Handle Type,Ball Quality,Bag Warranty,Bag Style,Brunswick Product Line,Fragrance,Particle Load,Performance,Roto Grip Product Line,Durometer,Viz Style,Changeable Sole,Mass Bias Diff,Finish,Storm Product Line,Brand,Ball Color,Bag Size,RG,Perfect Scale,Factory Finish,Release Date,Core Type,Laces/Easy Strap,Shoe Mfg Part #,Ball Sports League,Gender,Differential,Product ID,OTB Style,Bag Mfg Part #,Ball Warranty,name,Shoe Size Capacity,Coverstock,url,Core Name,Holds Shoes,Lane Condition,Breakpoint Shape,Shoe Color,Bowling Hand (Shoes),Coverstock Name,Bag Color
,,Low,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Hammer,Purple Pearl,,2.65,142.9,500/1000/2000 Abralon,10/18/2016,Symmetric,,,,,0.015,13027,,,1 Year,Hammer Purple Pearl Hammer Urethane,,Urethane,https://www.bowlingball.com/products/bowling-balls/hammer/13027/purple-pearl-hammer-urethane.html,LED,,Dry,Smooth Arc,,,Urethane Pearl,
,,"5-6"" (High)",,,First Quality,,,,Red Velvet Cake,,High Performance[8],,73-75 Rex D-Scale,,,,Matte,Master,Storm,Red/Blue/Purple,,2.48,212.2,3000 Grit Abralon,10/04/2016,Symmetric,,,,,0.051,12910,,,1 Year,Storm Phaze II,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/12910/phaze-ii.html,Velocity (14-16 Pounds),,Heavy,Strong Arc,,,TX-16 Solid Reactive,
,,Low,,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,Ebonite,Turquoise/Purple/Magenta,,2.65,85.00,,,Symmetric,,,,,0.020,13370,,,1 Year,Ebonite Crush/R Turquoise/Purple/Magenta 12 14 15 Only,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/13370/crushr-turquoisepurplemagenta.html,Pancake,,Dry,Length and Control,,,Super Tack,
,,"6"" Plus (High)",,,First Quality,,,,Ginger Verbena,,Pro Performance[10],,73-75 Rex D-Scale,,,0.018,Polished,Premier,Storm,Indigo/White/Copper,,2.48,232.8,1500-Grit Polished,6/7/2016,Asymmetric,,,,,0.054,12499,,,1 Year,Storm Snap Lock,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/12499/snap-lock.html,RAD-X,,Medium-Heavy,Controlled Angularity,,,R3S Pearl Reactive,
600D,,,,,First Quality,2 Year,Non Roller,,,,Polyester[0],,,,,,Polished,,Pyramid,Black/Silver,Single,,5.0,,09/18/2014,,,,,,,9414,,,2 Year,Pyramid Path BUILD YOUR OWN Ball & Bag Combo,Size 16,Plastic,https://www.bowlingball.com/products/bowling-bags/pyramid/9938/path-build-your-own-ball-bag-combo.html,,Yes,Dry,,,,,Black/Black
,,High,,,First Quality,,,Vintage,,,Advanced Performance[6],,,,,,Polished,,Brunswick,Black Ice,,2.549,184.2,500 Siaair/Crown Factory Compound,9/22/2016,Symmetric,,,,,0.040,13032,,,1 Year,Brunswick Vintage Danger Zone Black Ice SE Limited Edition 15 Only,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/13032/vintage-danger-zone-black-ice-se-limited-edition.html,Vintage Light Bulb Low RG,,Medium,Length w/ Strong Backend,,,PK 2016 Pearl,
,,3” - 5” (Medium-High),,,First Quality,,,,Apple Crisp,,High Performance[8],,74-76 Rex D-Scale,,,,Matte,Master,Storm,Midnight Blue,,2.49,215.40,4000-grit Abralon,07/10/2012,Symmetric,,,,,0.029,10351,,,1 Year,Storm IQ Tour,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/10351/iq-tour.html,C³ Centripetal Control Core,,Medium-Heavy,,,,R2S Solid Reactive,
,,"3-4"" (Medium)",,,First Quality,,,,Papaya Splash,,Performance[4],,73-75 Rex D Scale,,,,Polished,Hot,Storm,Black/Orange/Silver,,2.57,181.9,1500 Grit Polished,06/16/2017,Symmetric,,,,,0.035,13341,,,1 Year,Storm Match Up Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13341/match-up-pearl.html,Stinger 2.0,,Medium,Skid/Flip,,,Reactor Pearl,
,,High,,,First Quality,,,,,,Advanced Performance[6],,,,,,Sanded,,DV8,Blue/Orange,,2.481,213.3,500/1500 Siaair Micro Pad,11/15/2016,Symmetric,,,,,0.054,13065,,,2 Year,DV8 Freakshow Solid,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/dv8/13065/freakshow-solid.html,Freakshow Symmetric,,Medium,All Purpose with Aggressive Flip,,,Class 8 Solid Reactive,
,,Low,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,Deep Space,,2.715,5.0,,07/07/2015,Symmetric,,,,,,12182,,,1 Year,Brunswick T Zone Deep Space,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/12182/t-zone-deep-space.html,,,Dry,,,,,
,,"3-5"" (Medium-High)",,,First Quality,,,,Blackberry,,Advanced Performance[6],,73-75 Rex D-Scale,,,,Matte,Thunder,Storm,Purple/White,,2.62,209.9,3000 Grit Sheen,10/04/2016,Symmetric,,,,,0.043,12909,,,1 Year,Storm Street Fight,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/12909/street-fight.html,Iron Cross,,Medium,Skid/Flip,,,R4S Pearl Reactive,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Ebonite,Red/Yellow/Orange,,,5.0,,,,,,,,,13354,,,1 Year,Ebonite Zoom Red/Yellow/Orange Pre-Drilled,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/13354/zoom-redyelloworange-pre-drilled.html,,,Dry,,,,,
,,"2-3"" (Medium-Low)",,,First Quality,,,,Pear Cider,,Entry Performance[2],,74-76 Rex D-Scale,,,,Polished,Tropical,Storm,Lime/Black,,2.57,118.5,1500-Grit Polished,05/26/2017,Symmetric,,,,,0.009,13293,,,1 Year,Storm Tropical Storm Lime/Black,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13293/tropical-storm-limeblack.html,Camber,,Medium-Dry,,,,Reactor,
,,"4-5"" (Medium-High)",,,First Quality,,,,Lavender Vanilla,,Advanced Performance[6],,,,,,Matte,Thunder,Storm,Navy/Hunter Green,,2.56,211.2,2000 Grit Abralon,02/14/2017,Symmetric,,,,,0.044,13140,,,1 Year,Storm Torrent,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13140/torrent.html,Booster HV,,Medium-Heavy,Continuous Hook,,,R2S Solid,
,,Low,,,First Quality,,,,,,Performance[4],,,,,,Sanded,,Hammer,Black Solid,,2.65,150.5,500-Abralon,10/13/2015,Symmetric,,,,,0.015,12368,,,3 Year,Hammer Black Hammer Urethane,,Urethane,https://www.bowlingball.com/products/bowling-balls/hammer/12368/black-hammer-urethane.html,LED,,Medium-Dry,Smooth Arc,,,Urethane,
,,Medium-High,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Columbia 300,Red,,2.49,215.5,500/2000 Abralon,03/28/2017,Symmetric,,,,,0.050,13184,,,1 Year,Columbia 300 Impulse Solid,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/columbia-300/13184/impulse-solid.html,Impulse,,Medium-Heavy,Strong Mid - Lane and Backend,,,Reflex Solid,
,,Medium-High,,,First Quality,,,,,,Pro Performance[10],,,,,0.016,Matte,,900 Global,Carbon/Teal/Yellow,,2.52,233.1,"NEAT ""E""",04/03/2017,Asymmetric,,,,,0.050,13253,,,1 Year,900 Global Inception Redux,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/900-global/13253/inception-redux.html,Adaptor/D 2.0,,Heavy,Strong Continuation,,,S80R Hybrid,
,,"2-3"" (Medium-Low)",,,First Quality,,,,Mango Tea,,Entry Performance[2],,74-76 Rex D-Scale,,,,Polished,Tropical,Storm,Blue/Orange,,2.57,118.5,1500-Grit Polished,05/26/2017,Symmetric,,,,,0.009,13294,,,1 Year,Storm Tropical Storm Blue/Orange,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13294/tropical-storm-blueorange.html,Camber,,Medium-Dry,,,,Reactor,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Fireball,,2.53,167.2,"4000 Abralon, Polished with Powerhouse Factory Fin",05/24/2013,Symmetric,,,,,0.053,10824,,,,Ebonite Cyclone Fireball,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/10824/cyclone-fireball.html,Cyclone Torque,,Medium-Dry,,,,GB 10.7,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,0.020,Sanded,,DV8,Black/Violet/Neon Green,,2.486,233.4,500/1000 Siaair Micro Pad,01/17/2017,Asymmetric,,,,,0.055,13129,,,2 Year,DV8 Pitbull 13 14 Only,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/dv8/13129/pitbull-13-14-only.html,Pitbull Low RG Asymmetric,,Heavy,Maximum Hook,,,Composite Bite,
,,Medium-High,,,First Quality,,,,,,High Performance[8],HP3,,,,,Polished,,Roto Grip,Teal/White/Black,,2.48,199.5,1500 Grit Polished,11/22/2016,Symmetric,,,,,0.041,13069,,,1 Year,Roto Grip Dare Devil,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/13069/dare-devil.html,Madcap,,Medium,Skid/Flip,,,Amped Pearl Reactive,
600D,No,,2 Year,,First Quality,2 Year,Non Roller,,,,Polyester[0],,,,No,,Polished,,Pyramid,Pink/Black,Single,,5.0,,12/27/2011,,Laces,,,Women,,9990,,,2 Year,Pyramid Hot Pink Package,Size 16,Plastic,https://www.bowlingball.com/products/bowling-bags/pyramid/10561/hot-pink-package.html,,Yes,Dry,,Black w/ Hot Pink Stars,Universal,,Black/Hot Pink
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,0.012,Sanded,,Pyramid,Royal Blue/Lime Green/Black,,2.48,232.80,1000 grit Abralon,10/08/2014,Asymmetric,,,,,0.039,11549,,,2 Year,Pyramid Divergent Path,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pyramid/11549/divergent-path.html,SG 19.5 Dual Density Asymmetric,,Heavy,Early Roll/Even Arc,,,GPS Navigational ATX,
,,High,,,First Quality,,,Affordable Performance,,,Advanced Performance[6],,,,,,Matte,,Brunswick,Dark Purple Solid,,2.537,182.9,500/2000 Siaair Micro Pad,04/18/2017,Symmetric,,,,,0.050,13288,,,1 Year,Brunswick Edge Solid,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/13288/edge-solid.html,Edge Low RG Symmetric Core (14-16),,Medium,Mid-lane Control and Consistency,,,Relativity Control Solid,
,,Medium-High,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Ebonite,Purple/Red/Blue,,2.48,204.5,500/1000 Abralon w/ Factory Finish Polish,01/10/2017,Symmetric,,,,,0.048,13121,,,1 Year,Ebonite Game Breaker 2 Phenom Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/13121/game-breaker-2-phenom-pearl.html,Enhanced V2,,Medium,Skid/Flip,,,GB 11.2 Pearl,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,KR Strikeforce,Dallas Cowboys,,,5.0,,07/07/2014,,,,NFL,,,11386,,,1 Year,KR Strikeforce NFL Dallas Cowboys ver2,,Plastic,https://www.bowlingball.com/products/bowling-balls/kr-strikeforce/11386/nfl-dallas-cowboys-ver2.html,,,Dry,,,,,
,,"1-2"" (Low)",,,First Quality,,,,U1S Pearl Urethane,,Entry Performance[2],,73-75 Rex D-Scale,,,,Polished,Ice,Storm,3500 Grit Polished,,2.69,100.9,3500 Grit Polished,07/31/2013,Symmetric,,,,,0.006,10901,,,1 Year,Storm Mix Red/Silver,,Urethane,https://www.bowlingball.com/products/bowling-balls/storm/10901/mix-redsilver.html,Traditional 3-piece Core,,Dry,,,,U1S Pearl Urethane,
,,,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,Green Envy,,2.715,5.0,,05/20/2010,Symmetric,,,,,.019,8458,,,1 Year,Brunswick T Zone Green Envy,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/8458/t-zone-green-envy.html,,,Dry,,,,,
,,Medium,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Black/Blue/Silver Pearl,,2.524-2.554,180.5,500 Siaair/Royal Compound/Royal Shine,05/10/2016,Symmetric,,,,,0.030,12493,,,1 Year,Brunswick Rhino Black/Blue/Silver Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/12493/rhino-blackbluesilver-pearl.html,Traditional Light Bulb,,Medium-Dry,Power and Control,,,R-16 Pearl Reactive,
,,"2 -3"" (Medium-Low)",,,First Quality,,,,Birthday Cake,,Entry Performance[2],,74-76 Rex D-Scale,,,,Polished,Tropical,Storm,Pink/Purple,,2.57,118.5,1500 Grit Polished,05/18/2011,Symmetric,,,,,0.009,9306,,,1 Year,Storm Tropical Breeze Pearl Pink/Purple,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/9306/tropical-breeze-pearl-pinkpurple.html,Camber,,Medium-Dry,,,,Reactor Pearl,
,,High,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Ebonite,Red/White/Blue,,2.53,167.2,"4000 Abralon, Powerhouse Factory Finish",05/23/2017,Symmetric,,,,,0.053,13362,,,1 Year,Ebonite Cyclone Red/White/Blue,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/ebonite/13362/cyclone-redwhiteblue.html,Cyclone Torque,,Medium-Dry,Length w/Strong Backend,,,GB 10.7,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Motiv,White Pearl/Silver Pearl,,2.68,120.5,4000 Grit/Power Gel Polish,03/18/2014,Symmetric,,,,,0.010,11367,,,1 Year,Motiv Arctic Sniper,,Urethane,https://www.bowlingball.com/products/bowling-balls/motiv/11367/arctic-sniper.html,Hollow Point,,Dry,Smooth Arc/Spare Ball,,,DMX Urethane,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Ebonite,Cool Water,,,5.0,,,,,,,,,13353,,,1 Year,Ebonite Zoom Cool Water Pre-Drilled,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/13353/zoom-cool-water-pre-drilled.html,,,Dry,,,,,
600D,No,,2 Year,,First Quality,1 Year,Non Roller,,,,Polyester[0],,,,No,,Polished,,Pyramid,Blue/Black/White,Single,,5.0,,04/13/2012,,Laces,,,Men,,10101,,,2 Year,Pyramid Black Prime Package,Size 9,Plastic,https://www.bowlingball.com/products/bowling-bags/pyramid/10605/black-prime-package.html,,Yes,Dry,,Black/White,Universal,,Black
,,Medium-High,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Track,Red/Black/Silver,,2.48,206.7,500/3000 Abralon,07/05/2016,Asymmetric,,,,,0.043,12639,,,1 Year,Track Cyborg Ltd Only,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/track/12639/cyborg-ltd-only.html,Cyborg,,Medium-Heavy,Strong Continuous Hook,,,QR - 7 Hybrid,
,,High,,,First Quality,,,,,,High Performance[8],,,,,0.011,Matte,,DV8,Purple/Dark Purple,,2.499,215.2,500/4000 Grit Siaair,08/09/16,Asymmetric,,,,,0.055,12633,,,2 Year,DV8 Vandal Smash 15 16 Only,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/dv8/12633/vandal-smash-15-16-only.html,Vandal Asymmetric,,Medium-Heavy,All Purpose with Backend Flip,,,Composite Flip Solid,
,,Medium-High,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Brunswick,Black/Light Purple Solid,,2.480,196.5,500/1500 Siaair Micro Pad,2/7/2017,Symmetric,,,,,0.055,13144,,,1 Year,Brunswick Fanatic SS 13 14 15 Only,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/13144/fanatic-ss.html,Dual Flip Symmetric Low RG,,Medium,Mid-lane traction with Strong backend,,,Relativity Hook,
,,"3""+ (Medium)",,,First Quality,,,,,,Performance[4],HP1,,,,,Polished,,Roto Grip,Pink/Onyx/White,,2.53,140.1,1500 Grit Polished,11/22/2016,Symmetric,,,,,0.030,13070,,,1 Year,Roto Grip Hustle Pink/Onyx/White Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/13070/hustle-pinkonyxwhite-pearl.html,Hustle,,Medium-Dry,Length w/ Controllable Backend,,,Pumped Pearl,
,,,,,First Quality,,,,,,Polyester[0],,,,,,High Polish,,OTB,,,,5.0,,01/19/2012,,,,,,,10149,Beer,,1 Year,OTB Beer,,Plastic,https://www.bowlingball.com/products/bowling-balls/otb/10149/beer.html,,,Dry,,,,,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,0.005,Polished,,Track,Emerald/Black,,2.49,204.1,500/1000 Abralon w/ Factory Finish Polish,02/14/2017,Asymmetric,,,,,0.038,13137,,,1 Year,Track Kinetic Emerald,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/track/13137/kinetic-emerald.html,Modified Kinetic,,Medium,Angular,,,DR-6 Hybrid,
,,"3-4"" (Medium)",,,First Quality,,,,Cider Donut,,Performance[4],,73-75 Rex D-scale,,,,Polished,Hot,Storm,Red/Burnt Orange,,2.55,177.9,1500-Grit Polished,4/19/2016,Symmetric,,,,,0.030,12476,,,1 Year,Storm Match Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/12476/match-pearl.html,Stinger,,Medium-Dry,Added Length and Angularity,,,Reactor Pearl Reactive,
,,"3-4"" (Medium)",,,First Quality,,,,Bourbon Pistachio,,Performance[4],,73-75 Rex D Scale,,,,Polished,,Storm,Black/Aqua/Lime,,2.57,180.7,1500 Grit Polished,06/16/2017,Symmetric,,,,,0.035,13342,,,1 Year,Storm Match Up Solid,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/storm/13342/match-up-solid.html,Stinger 2.0,,Medium,Length and Control,,,Reactor Solid,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Columbia 300,Black/Blue/Bronze,,2.55,152.7,500/2000 Abralon w/Powerhouse Factory Finish Polish,5/31/16,Symmetric,,,,,0.033,12538,,,1 Year,Columbia 300 Nitrous Black/Blue/Bronze,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/columbia-300/12538/nitrous-blackbluebronze.html,Nitrous,,Medium-Dry,Skid/Flip,,,Boost/R,
,,Medium,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Black Pearl,,2.524-2.554,180.5,500 Siaair/Royal Compound/Royal Shine,05/10/2016,Symmetric,,,,,0.030,12489,,,1 Year,Brunswick Rhino Black Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/12489/rhino-black-pearl.html,Traditional Light Bulb,,Medium-Dry,Power and Control,,,R-16 Pearl Reactive,
,,Medium,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Black/Green/Orange,,2.524,180.5,500 Siaair/Royal Compound/Royal Shine,05/16/2017,Symmetric,,,,,0.030,13332,,,1 Year,Brunswick Rhino Black/Green/Orange Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/13332/rhino-blackgreenorange-pearl.html,Traditional Light Bulb,,Medium-Dry,Power and Control,,,R-16 Pearl Reactive,
,,Medium-Low,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Motiv,Purple/Purple Solid,,2.48,196.6,4000 Grit Sanded,03/28/2014,Symmetric,,,,,0.034,11370,,,1 Year,Motiv Venom Shock,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/motiv/11370/venom-shock.html,Gear,,Medium-Dry,Smooth & Angular,,,Turmoil MFS Solid,
,,Medium,,,First Quality,,,Entry-Level Performance,,,Entry Performance[2],,,,,,Polished,,Brunswick,Purple/Pink/White Pearl,,2.524-2.554,180.5,500 Siaair/Royal Compound/Royal Shine,05/10/2016,Symmetric,,,,,0.030,12491,,,1 Year,Brunswick Rhino Purple/Pink/White Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/12491/rhino-purplepinkwhite-pearl.html,Traditional Light Bulb,,Medium-Dry,Power and Control,,,R-16 Pearl Reactive,
,,,,,First Quality,,,Polyester,,,Polyester[0],,,,,,High Polish,,Brunswick,Caribbean Blue,,2.715,5.0,,05/10/2011,Symmetric,,,,,0.019,9295,,,1 Year,Brunswick T Zone Caribbean Blue,,Plastic,https://www.bowlingball.com/products/bowling-balls/brunswick/9295/t-zone-caribbean-blue.html,,,Dry,,,,,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Motiv,Blue Pearl/Lime Pearl,,2.55,TBD,5500 Grit LSP,07/12/2017,Symmetric,,,,,0.037,13390,,,1 Year,Motiv Tag Cannon,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/motiv/13390/tag-cannon.html,Halogen,,Medium-Dry,Skid/Flip,,,Agility SFP,
,,Medium-High,,,First Quality,,,Vintage,,,Advanced Performance[6],,,,,,Polished,,Brunswick,Orange & Smoke,,2.479-2.529,TBD,500 Siaair/Crown Factory Compound,08/15/2017,Symmetric,,,,,0.050,13396,,,1 Year,Brunswick Vintage Inferno,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/brunswick/13396/vintage-inferno.html,Vintage Inferno Low-RG Symmetric,,Medium,"Smooth, Arcing Motion",,,Activator 2.0 Pearl,
,,High,,,First Quality,,,,,,Pro Performance[10],,,,,0.011,Polished,,Columbia 300,Black/Blue/Silver,,2.48,228.7,500/1000 Abralon w/ Powerhouse Factory Finish,02/14/2017,Asymmetric,,,,,0.056,13134,,,1 Year,Columbia 300 Tyrant Pearl,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/columbia-300/13134/tyrant-pearl.html,Tyrant,,Medium-Heavy,Strong Mid-Lane,,,Reflex Pearl HST,
,,Low,,,First Quality,,,,,,Polyester[0],,,,,,Polished,,Columbia 300,Orange/Purple/Silver,,,5.0,800/800/1000/2000 Abralon w/Powerhouse Factory Finish Polish,05/23/2017,Symmetric,,,,,,13363,,,1 Year,Columbia 300 White Dot Crystal Sunset,,Plastic,https://www.bowlingball.com/products/bowling-balls/columbia-300/13363/white-dot-crystal-sunset.html,Pancake,,Dry,Straight,,,Polyester,
,,"6"" (High)",,,First Quality,,,,,,Advanced Performance[6],,,,,0.021,Polished,,900 Global,Black,,2.48,186.8,1500 Grit Polished,7/06/2015,Asymmetric,,,,,0.058,12168,,,,900 Global Black Ops,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/900-global/12168/black-ops.html,Break Asymmetric,,Medium-Heavy,Length & Predictability,,,S70 Solid,
,,"2 - 4"" (Medium)",,,First Quality,,,,Melon Mint,,Entry Performance[2],,74-76 Rex D-Scale,,,,High Polish,Tropical,Storm,Teal/Blue,,2.57,118.5,1500 Grit Polished,05/13/2014,Symmetric,,,,,0.009,11376,,,1 Year,Storm Tropical Breeze Pearl Teal/Blue,,Pearl Reactive,https://www.bowlingball.com/products/bowling-balls/storm/11376/tropical-breeze-pearl-tealblue.html,Camber,,Medium-Dry,,,,Reactor Pearl,
,,"4-5""",,,First Quality,,,,,,Entry Performance[2],,,,,,Polished,,900 Global,Black/Green,,2.54,168.2,1500 Grit Polished,04/03/2017,Symmetric,,,,,0.043,13254,,,1 Year,900 Global Boost Black/Green Solid,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/900-global/13254/boost-blackgreen-solid.html,Launch Symmetric,,Medium-Dry,Controlled Arc,,,S43 Solid,
,,Medium,,,First Quality,,,,,,Performance[4],,,,,,Polished,,Hammer,Blue,,2.51,TBD,500/2000 Abralon w/ Factory Finish Polish,06/20/2017,Symmetric,,,,,0.042,13392,,,3 Year,Hammer Blue Vibe,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/hammer/13392/blue-vibe.html,Vibe,,Medium-Dry,Length w/ Controlled Backend,,,CT Reactive Plus Solid,
,,Medium-High,,,First Quality,,,,,,Entry Performance[2],,76-78D,,,,Polished,,PBS,Blue/Lemon,,2.51,119.3,2000 Grit Polished,,Symmetric,,,,,0.050,12437,,,1 Year,PBS Horseshoe Blue/Lemon 10 11 12 Only,,Solid Reactive,https://www.bowlingball.com/products/bowling-balls/pbs/12437/horseshoe-bluelemon.html,Ringer,,Medium-Dry,Length,,,Solid Reactive,
,,"1-2"" (Low)",,,First Quality,,,,,,Entry Performance[2],,73-75 Rex Durometer,,,,High Polish,Ice,Storm,Green/White,,2.69,100.9,3500-Grit Polished,8/23/2016,Symmetric,,,,,0.006,12919,,,1 Year,Storm Mix Green/White,,Urethane,https://www.bowlingball.com/products/bowling-balls/storm/12919/mix-greenwhite.html,Traditional 3-Piece,,Dry,,,,U1S Pearl Urethane,
,,"3""+ (Medium)",,,First Quality,,,,,,Performance[4],HP1,73-75 Rex D-Scale,,,,Polished,,Roto Grip,Purple/Raspberry Solid/Orange Pearl,,2.53,140.1,1500 Grit Polished,06/21/2016,Symmetric,,,,,0.030,12540,,,1 Year,Roto Grip Hustle Purple/Raspberry/Orange Hybrid 10 12 13 14 Only,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/12540/hustle-purpleraspberryorange-hybrid.html,Hustle,,Medium-Dry,Early and Stable Reaction,,,Stoked Hybrid,
,,"3""+ (Medium)",,,First Quality,,,,,,Performance[4],HP1,73-75 Rex D-Scale,,,,Polished,,Roto Grip,Silver/Aqua Solid/Yellow Pearl,,2.53,140.1,1500 Grit Polished,06/21/2016,Symmetric,,,,,0.030,12541,,,1 Year,Roto Grip Hustle Silver/Aqua/Yellow Hybrid,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/roto-grip/12541/hustle-silveraquayellow-hybrid.html,Hustle,,Medium-Dry,Stable Reaction w/Length,,,Psyched Hybrid,
